ticket_id,requester_email,subject,created_at,tags,related_order_id
ZD-3042,,How do I pause my subscription?,2026-06-19T17:00:00+00:00,cancellation,
ZD-3043,,Where is my box??,2026-06-23T21:00:00+00:00,"shipping,frustrated",
ZD-3044,,Tracking hasn't updated in days,2026-07-01T11:00:00+00:00,"shipping,frustrated",
ZD-3045,donnacampbell@example.net,Package says delivered but I don't have it,2026-07-02T18:00:00+00:00,"shipping,frustrated",
ZD-3046,,Tracking hasn't updated in days,2026-06-23T13:00:00+00:00,"shipping,frustrated",
ZD-3047,,Please cancel my subscription,2026-06-25T15:00:00+00:00,cancellation,#5942
ZD-3048,jonathanfletcher@example.org,Tracking hasn't updated in days,2026-07-07T13:00:00+00:00,"shipping,frustrated",#6168
ZD-3049,erik16@example.org,Tracking hasn't updated in days,2026-06-30T18:00:00+00:00,"shipping,frustrated",#6128
ZD-3050,,How do I pause my subscription?,2026-07-07T17:00:00+00:00,cancellation,
ZD-3051,,Where is my box??,2026-06-26T16:00:00+00:00,"shipping,frustrated",
ZD-3052,wmurphy@example.com,Box was soaked/damaged in transit,2026-06-27T14:00:00+00:00,"damaged,refund_request",
ZD-3053,,Package says delivered but I don't have it,2026-06-08T15:00:00+00:00,"shipping,frustrated",#5061
ZD-3054,,How do I pause my subscription?,2026-07-07T08:00:00+00:00,cancellation,#5676
ZD-3055,jacqueline71@example.net,How do I pause my subscription?,2026-06-23T15:00:00+00:00,cancellation,#5719
ZD-3056,cruzcaitlin@example.com,Please cancel my subscription,2026-07-03T08:00:00+00:00,cancellation,#5115
ZD-3057,,Box was soaked/damaged in transit,2026-07-05T17:00:00+00:00,"damaged,refund_request",#6218
ZD-3058,ronaldstephens@example.net,Tracking hasn't updated in days,2026-06-30T17:00:00+00:00,"shipping,frustrated",
ZD-3059,,Where is my box??,2026-06-09T17:00:00+00:00,"shipping,frustrated",
ZD-3060,tsanders@example.org,Package says delivered but I don't have it,2026-06-11T18:00:00+00:00,"shipping,frustrated",#6011
ZD-3061,,Please cancel my subscription,2026-06-16T09:00:00+00:00,cancellation,#5372
ZD-3062,frazierdanny@example.net,Package says delivered but I don't have it,2026-06-13T10:00:00+00:00,"shipping,frustrated",#5345
ZD-3063,,Where is my box??,2026-07-06T07:00:00+00:00,"shipping,frustrated",
ZD-3064,,Box was soaked/damaged in transit,2026-07-03T09:00:00+00:00,"damaged,refund_request",
ZD-3065,,Please cancel my subscription,2026-06-15T14:00:00+00:00,cancellation,
ZD-3066,millerroy@example.com,Box was soaked/damaged in transit,2026-07-03T17:00:00+00:00,"damaged,refund_request",
ZD-3067,hernandezlisa@example.com,How do I pause my subscription?,2026-06-16T07:00:00+00:00,cancellation,
ZD-3068,yorkcasey@example.org,Tracking hasn't updated in days,2026-06-16T12:00:00+00:00,"shipping,frustrated",
ZD-3069,brian97@example.net,How do I pause my subscription?,2026-06-19T21:00:00+00:00,cancellation,
ZD-3070,,Package says delivered but I don't have it,2026-06-25T18:00:00+00:00,"shipping,frustrated",
